carType,color,condition,currency,drive,city,country,make,manufacture_year,mileage,mileage_unit,model,model_variant,price_on_request,type,zip,manufacture_month,fuel_consumption_unit
Other,Red,Occasion,null,null,Zuzwil,null,DODGE,null,13800,km,B 200,DODGE B 200,null,car,null,null,null
SUV,Silver,Occasion,null,null,Zuzwil,null,VW,null,117800,km,Touareg 5.0 TDI V10,VW Touareg 5.0 TDI V10,null,car,null,null,null
Saloon,Black,Occasion,null,null,Zuzwil,null,BMW,null,93000,km,540i,BMW 540i,null,car,null,null,null
Station Wagon,Blue,Occasion,null,null,Zuzwil,null,AUDI,null,46000,km,RS6 Avant 5.0 V10 quattro,AUDI RS6 Avant 5.0 V10 quattro,null,car,null,null,null
Coupé,Yellow,Occasion,null,null,Zuzwil,null,TOYOTA,null,135800,km,MR2 2.0,TOYOTA MR2 2.0,null,car,null,null,null
Convertible,Red,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,63600,km,SL 300,MERCEDES-BENZ SL 300,null,car,null,null,null
Convertible,Silver,Occasion,null,null,Sursee,null,LAMBORGHINI,null,150,km,Aventador LP700-4 Rds,LAMBORGHINI Aventador LP700-4 Rds,null,car,null,null,null
Station Wagon,Green,Occasion,null,null,Zuzwil,null,AUDI,null,42500,km,RS6 Avant 5.0 V10 quattro,AUDI RS6 Avant 5.0 V10 quattro,null,car,null,null,null
Convertible,White,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,70600,km,SL 320,MERCEDES-BENZ SL 320,null,car,null,null,null
SUV,Silver,Occasion,null,null,Zuzwil,null,LAND ROVER,null,126300,km,Range Rover Sport 4.2 V8 SC,LAND ROVER Range Rover Sport 4.2 V8 SC,null,car,null,null,null
Saloon,Silver,Occasion,null,null,Zuzwil,null,BMW,null,86300,km,328i,BMW 328i,null,car,null,null,null
Coupé,Black,Occasion,null,null,Zuzwil,null,RENAULT,null,111990,km,Alpine A310 V6,RENAULT Alpine A310 V6,null,car,null,null,null
Saloon,Red,Occasion,null,null,Zuzwil,null,AUDI,null,60000,km,A8 4.2 quattro,AUDI A8 4.2 quattro,null,car,null,null,null
SUV,Black,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,16000,km,ML 430,MERCEDES-BENZ ML 430,null,car,null,null,null
Saloon,Blue,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,162000,km,190 E 2.5-16 ABS,MERCEDES-BENZ 190 E 2.5-16 ABS,null,car,null,null,null
Coupé,Red,Occasion,null,null,Zuzwil,null,RENAULT,null,82400,km,ALPINE V6,RENAULT ALPINE V6,null,car,null,null,null
Station Wagon,Blue,Occasion,null,null,Zuzwil,null,AUDI,null,79700,km,RS6 Avant 5.0 V10 quattro,AUDI RS6 Avant 5.0 V10 quattro,null,car,null,null,null
Convertible,Silver,Occasion,null,null,Zuzwil,null,RENAULT,null,8000,km,SPORT SPIDER Windschutzscheibe,RENAULT SPORT SPIDER Windschutzscheibe,null,car,null,null,null
Coupé,Black,Occasion,null,null,Zuzwil,null,LAMBORGHINI,null,2100,km,Huracan LP610-4 Coupé,LAMBORGHINI Huracan LP610-4 Coupé,null,car,null,null,null
Convertible,White,Occasion,null,null,Zuzwil,null,CHEVROLET,null,67000,km,CORVETTE C1,CHEVROLET CORVETTE C1,null,car,null,null,null
Station Wagon,Black,Occasion,null,null,Zuzwil,null,AUDI,null,32800,km,RS6 Avant 5.0 V10 quattro,AUDI RS6 Avant 5.0 V10 quattro,null,car,null,null,null
SUV,Silver,Occasion,null,null,Zuzwil,null,PORSCHE,null,156000,km,Cayenne Turbo,PORSCHE Cayenne Turbo,null,car,null,null,null
Coupé,Silver,Occasion,null,null,Zuzwil,null,RENAULT,null,9999,km,Alpine A110 1300S,RENAULT Alpine A110 1300S,null,car,null,null,null
Coupé,Silver,Occasion,null,null,Zuzwil,null,FERRARI,null,16500,km,Mondial 3.4 T,FERRARI Mondial 3.4 T,null,car,null,null,null
SUV,Blue,Occasion,null,null,Zuzwil,null,BMW,null,86200,km,X3 3.0i,BMW X3 3.0i,null,car,null,null,null
Coupé,Blue,Occasion,null,null,Porrentruy,null,FERRARI,null,42500,km,F360 Modena Berlinetta,FERRARI F360 Modena Berlinetta,null,car,null,null,null
Saloon,Black,Occasion,null,null,Zuzwil,null,BMW-ALPINA,null,94400,km,B10 4.6 S.Tronic,BMW-ALPINA B10 4.6 S.Tronic,null,car,null,null,null
Saloon,White,Occasion,null,null,Zuzwil,null,BENTLEY,null,43000,km,Continental FlyingSpur6.0,BENTLEY Continental FlyingSpur6.0,null,car,null,null,null
SUV,Gray,Occasion,null,null,Zuzwil,null,PORSCHE,null,36600,km,Cayenne Turbo S,PORSCHE Cayenne Turbo S,null,car,null,null,null
Coupé,Blue,Occasion,null,null,Zuzwil,null,TOYOTA,null,53100,km,CELICA 1600 GT,TOYOTA CELICA 1600 GT,null,car,null,null,null
Saloon,White,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,102000,km,S 65 AMG L,MERCEDES-BENZ S 65 AMG L,null,car,null,null,null
Station Wagon,Silver,Occasion,null,null,Zuzwil,null,AUDI,null,144200,km,RS6 Avant quattro,AUDI RS6 Avant quattro,null,car,null,null,null
Pick-up,Black,Occasion,null,null,Zuzwil,null,TOYOTA,null,26900,km,DYNA Bergungsfahrzeug,TOYOTA DYNA Bergungsfahrzeug,null,car,null,null,null
Coupé,Silver,Occasion,null,null,Zuzwil,null,PORSCHE,null,47900,km,911 GT3,PORSCHE 911 GT3,null,car,null,null,null
Saloon,Silver,Occasion,null,null,Zuzwil,null,VW,null,87000,km,Golf 2.0 TFSI GTI,VW Golf 2.0 TFSI GTI,null,car,null,null,null
Coupé,Silver,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,137000,km,CL 600,MERCEDES-BENZ CL 600,null,car,null,null,null
Coupé,Black,Occasion,null,null,Zuzwil,null,HYUNDAI,null,26900,km,Coupé 2.7 24V FX,HYUNDAI Coupé 2.7 24V FX,null,car,null,null,null
Coupé,Gray,Occasion,null,null,Zuzwil,null,RUF,null,20900,km,CTR 2 Sport,RUF CTR 2 Sport,null,car,null,null,null
Saloon,Blue,Occasion,null,null,Zuzwil,null,AUDI,null,26700,km,A8 4.2 quattro,AUDI A8 4.2 quattro,null,car,null,null,null
Saloon,Black,Occasion,null,null,Zuzwil,null,BMW,null,134000,km,2002 Turbo,BMW 2002 Turbo,null,car,null,null,null
Saloon,Yellow,Occasion,null,null,Zuzwil,null,MAZDA,null,158000,km,626 2.0i-16V HPV,MAZDA 626 2.0i-16V HPV,null,car,null,null,null
Saloon,Black,Occasion,null,null,Zuzwil,null,TRABANT,null,999,km,1300S Trabusa,TRABANT 1300S Trabusa,null,car,null,null,null
Saloon,Silver,Occasion,null,null,Zuzwil,null,BMW,null,29900,km,535d,BMW 535d,null,car,null,null,null
Coupé,Black,Occasion,null,null,Zuzwil,null,FERRARI,null,27650,km,F360 Challenge stradale,FERRARI F360 Challenge stradale,null,car,null,null,null
SUV,Red,Occasion,null,null,Zuzwil,null,PORSCHE,null,78400,km,Cayenne S,PORSCHE Cayenne S,null,car,null,null,null
Convertible,Silver,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,29800,km,SL 500,MERCEDES-BENZ SL 500,null,car,null,null,null
Coupé,Gray,Occasion,null,null,Zuzwil,null,FERRARI,null,68000,km,456M GTA,FERRARI 456M GTA,null,car,null,null,null
Coupé,Green,Occasion,null,null,Zuzwil,null,BMW,null,128600,km,633 CSI A,BMW 633 CSI A,null,car,null,null,null
Coupé,Black,Occasion,null,null,Zuzwil,null,PORSCHE,null,134100,km,911 Carrera 4,PORSCHE 911 Carrera 4,null,car,null,null,null
Convertible,Gray,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,47300,km,SL 500,MERCEDES-BENZ SL 500,null,car,null,null,null
Saloon,Black,Occasion,null,null,Zuzwil,null,BMW,null,65400,km,740i,BMW 740i,null,car,null,null,null
Coupé,Blue,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,26400,km,SLR McLaren Coupé,MERCEDES-BENZ SLR McLaren Coupé,null,car,null,null,null
Saloon,Black,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,73700,km,S 320,MERCEDES-BENZ S 320,null,car,null,null,null
Coupé,Black,Occasion,null,null,Zuzwil,null,BENTLEY,null,36900,km,Continental GT Speed 6.0,BENTLEY Continental GT Speed 6.0,null,car,null,null,null
Saloon,Blue,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,68800,km,S 65 AMG L,MERCEDES-BENZ S 65 AMG L,null,car,null,null,null
SUV,Black,Occasion,null,null,Zuzwil,null,BMW,null,79900,km,X5 4.4i,BMW X5 4.4i,null,car,null,null,null
Coupé,Black,Occasion,null,null,Zuzwil,null,NISSAN,null,15000,km,Skyline Rennwagen,NISSAN Skyline Rennwagen,null,car,null,null,null
Convertible,Blue,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,30500,km,SLK 230 Kompressor,MERCEDES-BENZ SLK 230 Kompressor,null,car,null,null,null
Coupé,Red,Occasion,null,null,Zuzwil,null,MASERATI,null,41800,km,Coupé GT,MASERATI Coupé GT,null,car,null,null,null
SUV,Gray,Occasion,null,null,Zuzwil,null,PORSCHE,null,59900,km,Cayenne S,PORSCHE Cayenne S,null,car,null,null,null
Coupé,Blue,Neu,null,null,Zuzwil,null,FERRARI,null,200,km,458 Italia 4.5 V8 Speciale,FERRARI 458 Italia 4.5 V8 Speciale,null,car,null,null,null
Coupé,Black,Occasion,null,null,Zuzwil,null,BMW-ALPINA,null,99400,km,B3 3.2 Coupé S.Tronic,BMW-ALPINA B3 3.2 Coupé S.Tronic,null,car,null,null,null
Coupé,Blue,Occasion,null,null,Zuzwil,null,RENAULT,null,60000,km,Alpine A110 1600 SX,RENAULT Alpine A110 1600 SX,null,car,null,null,null
Coupé,Black,Occasion,null,null,Zuzwil,null,FORD (USA),null,92000,km,Mustang Shelby GT500,FORD (USA) Mustang Shelby GT500,null,car,null,null,null
Convertible,Gray,Occasion,null,null,Zuzwil,null,PORSCHE,null,51000,km,Boxster S 3.2,PORSCHE Boxster S 3.2,null,car,null,null,null
Convertible,Red,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,36800,km,SL 500,MERCEDES-BENZ SL 500,null,car,null,null,null
Coupé,Silver,Occasion,null,null,Zuzwil,null,LAMBORGHINI,null,14990,km,Diablo 5.7 VT,LAMBORGHINI Diablo 5.7 VT,null,car,null,null,null
Convertible,Yellow,Occasion,null,null,Zuzwil,null,MORGAN,null,7100,km,4/4 1.8,MORGAN 4/4 1.8,null,car,null,null,null
Saloon,Blue,Occasion,null,null,Zuzwil,null,CITROEN,null,83800,km,C5 3.0 V6 Exclusive,CITROEN C5 3.0 V6 Exclusive,null,car,null,null,null
Coupé,Blue,Occasion,null,null,Zuzwil,null,PORSCHE,null,62900,km,911 Turbo,PORSCHE 911 Turbo,null,car,null,null,null
Convertible,Black,Occasion,null,null,Zuzwil,null,PORSCHE,null,30600,km,911 Carrera 4S Cabrio,PORSCHE 911 Carrera 4S Cabrio,null,car,null,null,null
Convertible,Gray,Occasion,null,null,Zuzwil,null,MASERATI,null,88500,km,Spyder GT,MASERATI Spyder GT,null,car,null,null,null
Coupé,Gray,Occasion,null,null,Zuzwil,null,PORSCHE,null,51000,km,924,PORSCHE 924,null,car,null,null,null
Coupé,Gray,Occasion,null,null,Zuzwil,null,FERRARI,null,15900,km,575M,FERRARI 575M,null,car,null,null,null
Coupé,Silver,Occasion,null,null,Zuzwil,null,ASTON MARTIN,null,40800,km,DB9,ASTON MARTIN DB9,null,car,null,null,null
Convertible,Blue,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,77700,km,SL 600,MERCEDES-BENZ SL 600,null,car,null,null,null
Coupé,Black,Occasion,null,null,Zuzwil,null,AUDI,null,67700,km,S5 Coupé 4.2 FSI quattro,AUDI S5 Coupé 4.2 FSI quattro,null,car,null,null,null
Saloon,White,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,46000,km,S 63 AMG L,MERCEDES-BENZ S 63 AMG L,null,car,null,null,null
Convertible,Silver,Occasion,null,null,Zuzwil,null,RENAULT,null,23500,km,Spider 2.0 16V TURBO,RENAULT Spider 2.0 16V TURBO,null,car,null,null,null
Saloon,Silver,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,56200,km,S 65 AMG L,MERCEDES-BENZ S 65 AMG L,null,car,null,null,null
Saloon,Blue,Occasion,null,null,Zuzwil,null,BENTLEY,null,19300,km,Arnage Red Label,BENTLEY Arnage Red Label,null,car,null,null,null
Convertible,Yellow,Occasion,null,null,Zuzwil,null,PORSCHE,null,96000,km,911 Targa,PORSCHE 911 Targa,null,car,null,null,null
Saloon,White,Occasion,null,null,Zuzwil,null,BMW,null,39700,km,M5,BMW M5,null,car,null,null,null
Station Wagon,Silver,Occasion,null,null,Zuzwil,null,AUDI,null,118800,km,RS6 Avant 5.0 V10 quattro,AUDI RS6 Avant 5.0 V10 quattro,null,car,null,null,null
Station Wagon,Gray,Occasion,null,null,Zuzwil,null,AUDI,null,24600,km,RS6 Avant 5.0 V10 quattro MTM,AUDI RS6 Avant 5.0 V10 quattro MTM,null,car,null,null,null
Saloon,Green,Occasion,null,null,Zuzwil,null,ALFA ROMEO,null,81900,km,Alfasud 1.5 ti,ALFA ROMEO Alfasud 1.5 ti,null,car,null,null,null
Station Wagon,Gray,Occasion,null,null,Zuzwil,null,BMW,null,76500,km,535i Touring,BMW 535i Touring,null,car,null,null,null
Coupé,White,Occasion,null,null,Zuzwil,null,FERRARI,null,39000,km,575M,FERRARI 575M,null,car,null,null,null
Coupé,Black,Occasion,null,null,Zuzwil,null,PORSCHE,null,61400,km,911 Carrera Jubilé 40,PORSCHE 911 Carrera Jubilé 40,null,car,null,null,null
Saloon,Green,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,16660,km,CLK DTM AMG,MERCEDES-BENZ CLK DTM AMG,null,car,null,null,null
Convertible,Silver,Neu,null,null,Zuzwil,null,MERCEDES-BENZ,null,160,km,SLK 200 Kompressor,MERCEDES-BENZ SLK 200 Kompressor,null,car,null,null,null
SUV,Silver,Occasion,null,null,Zuzwil,null,BMW,null,41900,km,X5 4.4i,BMW X5 4.4i,null,car,null,null,null
Convertible,Black,Occasion,null,null,Zuzwil,null,JAGUAR,null,107100,km,XKR S/C Convertible,JAGUAR XKR S/C Convertible,null,car,null,null,null
Convertible,Black,Occasion,null,null,Zuzwil,null,LOTUS,null,38200,km,Elise,LOTUS Elise,null,car,null,null,null
Coupé,Silver,Occasion,null,null,Zuzwil,null,RENAULT,null,71600,km,Alpine A610 Turbo,RENAULT Alpine A610 Turbo,null,car,null,null,null
Saloon,Gray,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,128800,km,S 500 L,MERCEDES-BENZ S 500 L,null,car,null,null,null
SUV,Black,Occasion,null,null,Zuzwil,null,KAISER,null,18000,km,CJ-5 12V ARMEEFAHRZEUG,KAISER CJ-5 12V ARMEEFAHRZEUG,null,car,null,null,null
Convertible,Green,Occasion,null,null,Zuzwil,null,BMW,null,140000,km,323Ci,BMW 323Ci,null,car,null,null,null
Saloon,Black,Occasion,null,null,Zuzwil,null,BENTLEY,null,112500,km,Turbo R,BENTLEY Turbo R,null,car,null,null,null
Saloon,Green,Occasion,null,null,Porrentruy,null,MERCEDES-BENZ,null,19900,km,S 500 L,MERCEDES-BENZ S 500 L,null,car,null,null,null
Saloon,Silver,Occasion,null,null,Zuzwil,null,PORSCHE,null,35500,km,Panamera 4S 4.8,PORSCHE Panamera 4S 4.8,null,car,null,null,null
Coupé,Silver,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,22400,km,CL 600,MERCEDES-BENZ CL 600,null,car,null,null,null
Convertible,Blue,Occasion,null,null,Zuzwil,null,BMW-ALPINA,null,66800,km,B6 4.4 V8 Cabrio,BMW-ALPINA B6 4.4 V8 Cabrio,null,car,null,null,null
Saloon,Silver,Occasion,null,null,Zuzwil,null,LANCIA,null,57000,km,Monte Carlo 137 AS,LANCIA Monte Carlo 137 AS,null,car,null,null,null
Station Wagon,Blue,Occasion,null,null,Zuzwil,null,AUDI,null,75200,km,RS6 Avant quattro,AUDI RS6 Avant quattro,null,car,null,null,null
Coupé,Black,Occasion,null,null,Zuzwil,null,PORSCHE,null,26000,km,911 Carrera,PORSCHE 911 Carrera,null,car,null,null,null
Convertible,Red,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,20900,km,SL 600,MERCEDES-BENZ SL 600,null,car,null,null,null
Coupé,Black,Occasion,null,null,Zuzwil,null,AUDI,null,26500,km,R8 Coupé 5.2,AUDI R8 Coupé 5.2,null,car,null,null,null
Station Wagon,Blue,Occasion,null,null,Zuzwil,null,AUDI,null,50000,km,RS4 Avant quattro,AUDI RS4 Avant quattro,null,car,null,null,null
Coupé,Blue,Occasion,null,null,Zuzwil,null,FERRARI,null,46500,km,456M GT,FERRARI 456M GT,null,car,null,null,null
Coupé,Blue,Occasion,null,null,Zuzwil,null,FERRARI,null,51200,km,575M,FERRARI 575M,null,car,null,null,null
Coupé,Gray,Occasion,null,null,Zuzwil,null,ASTON MARTIN,null,24600,km,Vanquish V12,ASTON MARTIN Vanquish V12,null,car,null,null,null
Coupé,Black,Neu,null,null,Zuzwil,null,PORSCHE,null,100,km,911 GT3,PORSCHE 911 GT3,null,car,null,null,null
Convertible,Silver,Occasion,null,null,Zuzwil,null,FERRARI,null,41000,km,F360 Spider,FERRARI F360 Spider,null,car,null,null,null
Station Wagon,Black,Occasion,null,null,Zuzwil,null,AUDI,null,43800,km,RS6 Avant quattro,AUDI RS6 Avant quattro,null,car,null,null,null
Coupé,Gold,Occasion,null,null,Zuzwil,null,CHEVROLET,null,13000,km,Corvette ZR1,CHEVROLET Corvette ZR1,null,car,null,null,null
Convertible,Gray,Occasion,null,null,Zuzwil,null,MAZDA,null,67200,km,RX-7 2.6 Turbo II,MAZDA RX-7 2.6 Turbo II,null,car,null,null,null
Saloon,Gray,Occasion,null,null,Zuzwil,null,AUDI,null,66300,km,A8 4.2 quattro,AUDI A8 4.2 quattro,null,car,null,null,null
Saloon,Gray,Occasion,null,null,Zuzwil,null,PORSCHE,null,47500,km,Panamera Turbo 4.8,PORSCHE Panamera Turbo 4.8,null,car,null,null,null
Saloon,Black,Occasion,null,null,Zuzwil,null,MASERATI,null,9800,km,Quattroporte 4.2,MASERATI Quattroporte 4.2,null,car,null,null,null
Coupé,Blue,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,116100,km,CL 500,MERCEDES-BENZ CL 500,null,car,null,null,null
Convertible,Black,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,125600,km,SL 500,MERCEDES-BENZ SL 500,null,car,null,null,null
Saloon,Black,Occasion,null,null,Zuzwil,null,SAAB,null,134600,km,9-3 2.0i-16 TS Aero,SAAB 9-3 2.0i-16 TS Aero,null,car,null,null,null
Saloon,Blue,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,51000,km,CLS 500,MERCEDES-BENZ CLS 500,null,car,null,null,null
Saloon,Blue,Occasion,null,null,Zuzwil,null,BMW,null,7990,km,2002 Turbo,BMW 2002 Turbo,null,car,null,null,null
Convertible,Gray,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,13800,km,SLK 200,MERCEDES-BENZ SLK 200,null,car,null,null,null
Station Wagon,Black,Occasion,null,null,Zuzwil,null,BMW,null,120900,km,530i Touring,BMW 530i Touring,null,car,null,null,null
Saloon,Silver,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,162900,km,C 240 Elégance,MERCEDES-BENZ C 240 Elégance,null,car,null,null,null
Convertible,Red,Occasion,null,null,Zuzwil,null,OPEL,null,11700,km,Speedster 2.0 16V Turbo,OPEL Speedster 2.0 16V Turbo,null,car,null,null,null
Convertible,Red,Occasion,null,null,Zuzwil,null,FERRARI,null,58000,km,F360 Spider,FERRARI F360 Spider,null,car,null,null,null
Saloon,Black,Occasion,null,null,Zuzwil,null,BMW,null,21700,km,M5,BMW M5,null,car,null,null,null
Saloon,Silver,Occasion,null,null,Zuzwil,null,BMW,null,69600,km,750i,BMW 750i,null,car,null,null,null
SUV,Black,Occasion,null,null,Zuzwil,null,PORSCHE,null,64500,km,Cayenne Turbo,PORSCHE Cayenne Turbo,null,car,null,null,null
Saloon,White,Occasion,null,null,Zuzwil,null,DE TOMASO,null,68100,km,PANTERA,DE TOMASO PANTERA,null,car,null,null,null
Saloon,Black,Occasion,null,null,Zuzwil,null,ALFA ROMEO,null,56400,km,166 3.0 V6 24V Super,ALFA ROMEO 166 3.0 V6 24V Super,null,car,null,null,null
SUV,Black,Occasion,null,null,Zuzwil,null,LAND ROVER,null,87000,km,Range Rover 4.6 HSE,LAND ROVER Range Rover 4.6 HSE,null,car,null,null,null
Coupé,Silver,Occasion,null,null,Zuzwil,null,CHRYSLER,null,66900,km,Viper GTS,CHRYSLER Viper GTS,null,car,null,null,null
Saloon,Blue,Oldtimer,null,null,Zuzwil,null,RENAULT,null,59800,km,ALPINE A310 1600 VG,RENAULT ALPINE A310 1600 VG,null,car,null,null,null
Station Wagon,Red,Occasion,null,null,Zuzwil,null,AUDI,null,171700,km,A6 Avant 2.7 T q.Ambiente,AUDI A6 Avant 2.7 T q.Ambiente,null,car,null,null,null
Convertible,Black,Occasion,null,null,Zuzwil,null,YES!,null,9400,km,Roadster 3.2,YES! Roadster 3.2,null,car,null,null,null
Saloon,Blue,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,48000,km,S 500,MERCEDES-BENZ S 500,null,car,null,null,null
Convertible,Blue,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,37000,km,SL 600,MERCEDES-BENZ SL 600,null,car,null,null,null
Coupé,Silver,Occasion,null,null,Zuzwil,null,PORSCHE,null,94500,km,911 Turbo,PORSCHE 911 Turbo,null,car,null,null,null
SUV,Black,Occasion,null,null,Zuzwil,null,LAND ROVER,null,63200,km,Range Rover 4.4TD Vogue,LAND ROVER Range Rover 4.4TD Vogue,null,car,null,null,null
Saloon,Blue,Occasion,null,null,Zuzwil,null,AUDI,null,108200,km,RS4 4.2 V8 quattro,AUDI RS4 4.2 V8 quattro,null,car,null,null,null
Saloon,White,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,15800,km,CLS 63 AMG,MERCEDES-BENZ CLS 63 AMG,null,car,null,null,null
Convertible,Gray,Occasion,null,null,Zuzwil,null,JAGUAR,null,99800,km,XK8 Convertible,JAGUAR XK8 Convertible,null,car,null,null,null
Saloon,Black,Occasion,null,null,Zuzwil,null,BMW,null,12000,km,M5,BMW M5,null,car,null,null,null
Coupé,Silver,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,39600,km,CL 500,MERCEDES-BENZ CL 500,null,car,null,null,null
Coupé,Gold,Occasion,null,null,Zuzwil,null,RUF,null,46000,km,CTR,RUF CTR,null,car,null,null,null
Saloon,Black,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,51000,km,S 500,MERCEDES-BENZ S 500,null,car,null,null,null
Convertible,Black,Occasion,null,null,Zuzwil,null,BMW,null,25700,km,135i,BMW 135i,null,car,null,null,null
Coupé,Gray,Occasion,null,null,Zuzwil,null,RENAULT,null,41400,km,Alpine A110 1600 SX,RENAULT Alpine A110 1600 SX,null,car,null,null,null
Saloon,Black,Occasion,null,null,Zuzwil,null,BENTLEY,null,124900,km,Brooklands,BENTLEY Brooklands,null,car,null,null,null
Station Wagon,Gray,Occasion,null,null,Zuzwil,null,AUDI,null,39000,km,RS6 Avant quattro,AUDI RS6 Avant quattro,null,car,null,null,null
Saloon,Blue,Occasion,null,null,Zuzwil,null,BMW,null,119600,km,750i,BMW 750i,null,car,null,null,null
Saloon,Gray,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,54500,km,S 500 L 4Matic,MERCEDES-BENZ S 500 L 4Matic,null,car,null,null,null
Coupé,White,Occasion,null,null,Zuzwil,null,PORSCHE,null,30100,km,911 Turbo,PORSCHE 911 Turbo,null,car,null,null,null
Coupé,Black,Occasion,null,null,Zuzwil,null,PORSCHE,null,7000,km,911 GT3 CUP,PORSCHE 911 GT3 CUP,null,car,null,null,null
Coupé,Silver,Occasion,null,null,Zuzwil,null,PORSCHE,null,123000,km,911 Carrera 2 RS,PORSCHE 911 Carrera 2 RS,null,car,null,null,null
Station Wagon,Red,Occasion,null,null,Zuzwil,null,AUDI,null,47000,km,RS6 Avant quattro,AUDI RS6 Avant quattro,null,car,null,null,null
Convertible,Green,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,84000,km,SL 63 AMG,MERCEDES-BENZ SL 63 AMG,null,car,null,null,null
Saloon,Silver,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,35600,km,E 50 AMG Avantgarde,MERCEDES-BENZ E 50 AMG Avantgarde,null,car,null,null,null
Saloon,Yellow,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,89700,km,190 E 2.5-16 Evo II ABS,MERCEDES-BENZ 190 E 2.5-16 Evo II ABS,null,car,null,null,null
Convertible,Black,Occasion,null,null,Zuzwil,null,PORSCHE,null,35500,km,911 Turbo Cabrio,PORSCHE 911 Turbo Cabrio,null,car,null,null,null
Coupé,White,Occasion,null,null,Zuzwil,null,RENAULT,null,98600,km,Alpine V6 Turbo,RENAULT Alpine V6 Turbo,null,car,null,null,null
Coupé,White,Oldtimer,null,null,Zuzwil,null,RENAULT,null,11200,km,ALPINE A310 2700 VA,RENAULT ALPINE A310 2700 VA,null,car,null,null,null
Coupé,Silver,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,48300,km,CL 55 AMG,MERCEDES-BENZ CL 55 AMG,null,car,null,null,null
Saloon,Beige,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,19100,km,CLS 63 AMG,MERCEDES-BENZ CLS 63 AMG,null,car,null,null,null
Station Wagon,Red,Occasion,null,null,Zuzwil,null,AUDI,null,45000,km,A6 Avant 2.7 T Ambition,AUDI A6 Avant 2.7 T Ambition,null,car,null,null,null
Convertible,Red,Occasion,null,null,Zuzwil,null,BMW,null,46000,km,M3,BMW M3,null,car,null,null,null
Coupé,Black,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,34500,km,SLR 730PS,MERCEDES-BENZ SLR 730PS,null,car,null,null,null
Saloon,Green,Occasion,null,null,Zuzwil,null,LANCIA,null,13000,km,Rally 037 stradale,LANCIA Rally 037 stradale,null,car,null,null,null
Saloon,Black,Occasion,null,null,Zuzwil,null,VOLVO,null,107000,km,S40 2.0 T,VOLVO S40 2.0 T,null,car,null,null,null
Other,Gray,Oldtimer,null,null,Zuzwil,null,RENAULT,null,124500,km,R5 1400 Alpine Turbo,RENAULT R5 1400 Alpine Turbo,null,car,null,null,null
Convertible,Black,Occasion,null,null,Zuzwil,null,PORSCHE,null,89500,km,911 Carrera,PORSCHE 911 Carrera,null,car,null,null,null
Coupé,Green,Occasion,null,null,Zuzwil,null,FERRARI,null,56500,km,Mondial 3.4 T,FERRARI Mondial 3.4 T,null,car,null,null,null
Convertible,Gray,Occasion,null,null,Zuzwil,null,MASERATI,null,63000,km,Spyder GT,MASERATI Spyder GT,null,car,null,null,null
Coupé,Blue,Occasion,null,null,Zuzwil,null,FORD,null,64600,km,CAPRI RS 2600,FORD CAPRI RS 2600,null,car,null,null,null
Coupé,Red,Occasion,null,null,Zuzwil,null,BMW,null,127800,km,M3,BMW M3,null,car,null,null,null
